learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.9, loss: 13.838251892305136, acc: 0.14144620811287478
loss,val_loss,acc,val_acc
13.68087814,13.79276874,0.14900000,0.14426808
13.87768178,13.79276874,0.13900000,0.14426808
13.61173310,13.79276874,0.15550000,0.14426808
13.74873698,13.79276874,0.14700000,0.14426808
13.85350466,13.79276874,0.14050000,0.14426808
13.78097320,13.79276874,0.14500000,0.14426808
13.82126846,13.79276874,0.14250000,0.14426808
13.75679610,13.79276874,0.14650000,0.14426808
13.81320939,13.79276874,0.14300000,0.14426808
13.78097324,13.79276874,0.14500000,0.14426808
13.79709136,13.79276874,0.14400000,0.14426808
13.74873703,13.79276874,0.14700000,0.14426808
13.75679605,13.79276874,0.14650000,0.14426808
13.73261888,13.79276874,0.14800000,0.14426808
13.79709136,13.79276874,0.14400000,0.14426808
14.04692190,13.79276874,0.12850000,0.14426808
13.94215422,13.79276874,0.13500000,0.14426808
13.67620552,13.79276874,0.15150000,0.14426808
13.76485510,13.79276874,0.14600000,0.14426808
13.65202839,13.79276874,0.15300000,0.14426808
14.03080378,13.79276874,0.12950000,0.14426808
13.78097320,13.79276874,0.14500000,0.14426808
13.72455981,13.79276874,0.14850000,0.14426808
13.81320944,13.79276874,0.14300000,0.14426808
13.77291412,13.79276874,0.14550000,0.14426808
13.99856753,13.79276874,0.13150000,0.14426808
13.90991802,13.79276874,0.13700000,0.14426808
13.80515037,13.79276874,0.14350000,0.14426808
13.77291412,13.79276874,0.14550000,0.14426808
13.56337888,13.79276874,0.15850000,0.14426808
