learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.7, loss: 13.894002161845549, acc: 0.13798734435599103
loss,val_acc,acc,val_loss
13.93409522,0.14152869,0.13550000,13.83692242
13.80515037,0.14152869,0.14350000,13.83692242
13.78903229,0.14152869,0.14450000,13.83692242
13.82126837,0.14152869,0.14250000,13.83692242
13.89379990,0.14152869,0.13800000,13.83692242
13.95827236,0.14152869,0.13400000,13.83692242
13.65202839,0.14152869,0.15300000,13.83692242
13.74067791,0.14152869,0.14750000,13.83692242
13.68426459,0.14152869,0.15100000,13.83692242
13.76485507,0.14152869,0.14600000,13.83692242
14.02274475,0.14152869,0.13000000,13.83692242
13.86156371,0.14152869,0.14000000,13.83692242
13.67620554,0.14152869,0.15150000,13.83692242
13.91797709,0.14152869,0.13650000,13.83692242
13.80515039,0.14152869,0.14350000,13.83692242
13.94215424,0.14152869,0.13500000,13.83692242
13.83738658,0.14152869,0.14150000,13.83692242
13.82126844,0.14152869,0.14250000,13.83692242
13.86962273,0.14152869,0.13950000,13.83692242
13.73261890,0.14152869,0.14800000,13.83692242
13.91797712,0.14152869,0.13650000,13.83692242
13.90991805,0.14152869,0.13700000,13.83692242
13.82932751,0.14152869,0.14200000,13.83692242
13.81320934,0.14152869,0.14300000,13.83692242
13.69232359,0.14152869,0.15050000,13.83692242
13.72455983,0.14152869,0.14850000,13.83692242
13.66814654,0.14152869,0.15200000,13.83692242
14.04692183,0.14152869,0.12850000,13.83692242
13.82932749,0.14152869,0.14200000,13.83692242
13.93409512,0.14152869,0.13550000,13.83692242
