learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.6, loss: 0.00790640247185885, acc: 0.9984126984126984
val_acc,loss,val_loss,acc
0.47222222,3.00206153,1.43689440,0.26400000
0.74761905,1.08323283,0.78034258,0.60650000
0.87566138,0.60257123,0.45049321,0.81499999
0.91375661,0.37995437,0.30201046,0.89199999
0.93650794,0.24751725,0.20742243,0.92500000
0.96216931,0.20296631,0.15619850,0.93750000
0.97142857,0.14958621,0.10106550,0.95699999
0.97671958,0.07929002,0.08055145,0.98100000
0.98941799,0.05244482,0.04487916,0.98900001
0.98068783,0.05006435,0.07440675,0.98700000
0.99470899,0.03751712,0.02399044,0.99300000
0.99788360,0.02401442,0.01994114,0.99700000
0.99735450,0.02310248,0.01813915,0.99650000
0.99021164,0.02891967,0.03487190,0.99300000
0.99788360,0.02608200,0.01456664,0.99250000
0.99735450,0.03612458,0.01926571,0.99050000
0.99708995,0.02106558,0.01277467,0.99500000
0.99894180,0.01169006,0.00540918,0.99850000
0.99920635,0.00604129,0.00674927,0.99900000
0.99920635,0.00522088,0.00447823,0.99800000
0.99973545,0.00388009,0.00333664,1.00000000
0.99973545,0.00216059,0.00225465,1.00000000
0.99973545,0.00301715,0.00223279,0.99900000
0.99894180,0.00919247,0.00752452,0.99850000
0.98809524,0.01523699,0.03172374,0.99450000
0.99312169,0.02554936,0.02369265,0.99250000
0.99761905,0.01512408,0.01128437,0.99650000
0.99259259,0.02810622,0.02262279,0.99150001
0.99470899,0.02316352,0.02192018,0.99400000
0.99814815,0.01017595,0.00527106,0.99800000
