learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 75, data_augmentation: False, model_type: 1, exp_name: 2, loss: 13.743874381130965, acc: 0.14730158732997048
loss,val_loss,acc,val_acc
13.73077999,13.95878404,0.14783000,0.13396825
13.77662132,13.95878404,0.14527000,0.13396825
13.76195384,13.95878404,0.14618000,0.13396825
13.76147029,13.95878404,0.14621000,0.13396825
13.75179944,13.95878404,0.14681000,0.13396825
13.77549305,13.95878404,0.14534000,0.13396825
13.75599014,13.95878404,0.14655000,0.13396825
13.75486188,13.95878404,0.14662000,0.13396825
13.75437833,13.95878404,0.14665000,0.13396825
13.76227621,13.95878404,0.14616000,0.13396825
