learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.5, loss: 13.7694586211916, acc: 0.14571428572374676
val_acc,val_loss,loss,acc
0.14634921,13.75922497,13.68786707,0.14900000
0.14634921,13.75922497,13.80515032,0.14350000
0.14634921,13.75922497,13.70038264,0.15000000
0.14634921,13.75922497,13.86962268,0.13950000
0.14634921,13.75922497,13.90185897,0.13750000
0.14634921,13.75922497,13.90185890,0.13750000
0.14634921,13.75922497,13.57949698,0.15750000
0.14634921,13.75922497,13.76485510,0.14600000
0.14634921,13.75922497,13.87768180,0.13900000
0.14634921,13.75922497,13.83738658,0.14150000
0.14634921,13.75922497,13.80515037,0.14350000
0.14634921,13.75922497,13.78903229,0.14450000
0.14634921,13.75922497,14.01468565,0.13050000
0.14634921,13.75922497,13.70038269,0.15000000
0.14634921,13.75922497,14.07915809,0.12650000
0.14634921,13.75922497,13.79709129,0.14400000
0.14634921,13.75922497,13.75679603,0.14650000
0.14634921,13.75922497,14.08721712,0.12600000
0.14634921,13.75922497,13.80515037,0.14350000
0.14634921,13.75922497,13.94215419,0.13500000
0.14634921,13.75922497,13.83738661,0.14150000
0.14634921,13.75922497,13.80515034,0.14350000
0.14634921,13.75922497,14.03080373,0.12950000
0.14634921,13.75922497,13.95021324,0.13450000
0.14634921,13.75922497,13.96633136,0.13350000
0.14634921,13.75922497,13.80515029,0.14350000
0.14634921,13.75922497,13.86962278,0.13950000
0.14634921,13.75922497,13.98244944,0.13250000
0.14634921,13.75922497,13.78903227,0.14450000
0.14634921,13.75922497,13.86156373,0.14000000
