learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.7, loss: 13.82229956663447, acc: 0.1424359265308473
loss,val_acc,acc,val_loss
14.03080378,0.14651848,0.12950000,13.75649642
13.79709132,0.14651848,0.14400000,13.75649642
13.78097322,0.14651848,0.14500000,13.75649642
13.61173320,0.14651848,0.15550000,13.75649642
13.84544556,0.14651848,0.14100000,13.75649642
13.90991800,0.14651848,0.13700000,13.75649642
13.72455978,0.14651848,0.14850000,13.75649642
13.74067798,0.14651848,0.14750000,13.75649642
13.85350471,0.14651848,0.14050000,13.75649642
13.67620561,0.14651848,0.15150000,13.75649642
13.72455983,0.14651848,0.14850000,13.75649642
13.82126849,0.14651848,0.14250000,13.75649642
13.74873693,0.14651848,0.14700000,13.75649642
13.95021324,0.14651848,0.13450000,13.75649642
13.73261886,0.14651848,0.14800000,13.75649642
13.83738656,0.14651848,0.14150000,13.75649642
13.92603605,0.14651848,0.13600000,13.75649642
13.91797709,0.14651848,0.13650000,13.75649642
13.78903220,0.14651848,0.14450000,13.75649642
13.86156371,0.14651848,0.14000000,13.75649642
13.78097322,0.14651848,0.14500000,13.75649642
13.78903224,0.14651848,0.14450000,13.75649642
13.79709127,0.14651848,0.14400000,13.75649642
13.94215424,0.14651848,0.13500000,13.75649642
13.57949691,0.14651848,0.15750000,13.75649642
14.08721719,0.14651848,0.12600000,13.75649642
13.70038269,0.14651848,0.15000000,13.75649642
13.99856758,0.14651848,0.13150000,13.75649642
13.79709132,0.14651848,0.14400000,13.75649642
13.66814647,0.14651848,0.15200000,13.75649642
