learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.8, loss: 13.783529965839689, acc: 0.14484126984126985
val_acc,loss,val_loss,acc
0.14087302,14.09527617,13.84749072,0.12550000
0.14087302,13.79709134,13.84749072,0.14400000
0.14087302,13.74873698,13.84749072,0.14700000
0.14087302,13.81320934,13.84749072,0.14300000
0.14087302,13.86156375,13.84749072,0.14000000
0.14087302,13.84544561,13.84749072,0.14100000
0.14087302,13.58755596,13.84749072,0.15700000
0.14087302,13.69232366,13.84749072,0.15050000
0.14087302,13.86156371,13.84749072,0.14000000
0.14087302,13.82932751,13.84749072,0.14200000
0.14087302,13.98244948,13.84749072,0.13250000
0.14087302,13.68426461,13.84749072,0.15100000
0.14087302,13.80515041,13.84749072,0.14350000
0.14087302,13.71650081,13.84749072,0.14900000
0.14087302,13.64396932,13.84749072,0.15350000
0.14087302,13.79709132,13.84749072,0.14400000
0.14087302,13.68426459,13.84749072,0.15100000
0.14087302,13.76485515,13.84749072,0.14600000
0.14087302,13.77291417,13.84749072,0.14550000
0.14087302,13.86156371,13.84749072,0.14000000
0.14087302,13.82126849,13.84749072,0.14250000
0.14087302,13.83738656,13.84749072,0.14150000
0.14087302,13.97439036,13.84749072,0.13300000
0.14087302,13.84544561,13.84749072,0.14100000
0.14087302,13.77291420,13.84749072,0.14550000
0.14087302,13.72455988,13.84749072,0.14850000
0.14087302,13.72455983,13.84749072,0.14850000
0.14087302,13.82932751,13.84749072,0.14200000
0.14087302,13.56337876,13.84749072,0.15850000
0.14087302,13.62785122,13.84749072,0.15450000
