learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 1, dataset_size: 0.1, loss: 13.892263118804447, acc: 0.1380952382844592
val_acc,loss,val_loss,acc
0.15079365,13.87512951,13.68758900,0.13850000
0.15079365,13.84544559,13.68758900,0.14100000
0.15079365,13.87768188,13.68758900,0.13900000
0.15079365,14.01468563,13.68758900,0.13050000
0.15079365,14.02274468,13.68758900,0.13000000
0.15079365,14.11139431,13.68758900,0.12450000
0.15079365,13.84544568,13.68758900,0.14100000
0.15079365,13.89379997,13.68758900,0.13800000
0.15079365,13.99856758,13.68758900,0.13150000
0.15079365,13.66814642,13.68758900,0.15200000
0.15079365,14.12751231,13.68758900,0.12350000
0.15079365,13.88574088,13.68758900,0.13850000
0.15079365,13.80515037,13.68758900,0.14350000
0.15079365,13.92603612,13.68758900,0.13600000
0.15079365,14.13557146,13.68758900,0.12300000
0.15079365,13.97439044,13.68758900,0.13300000
0.15079365,13.90185890,13.68758900,0.13750000
0.15079365,13.79709134,13.68758900,0.14400000
0.15079365,13.94215419,13.68758900,0.13500000
0.15079365,13.72455986,13.68758900,0.14850000
0.15079365,13.65202837,13.68758900,0.15300000
0.15079365,13.83738661,13.68758900,0.14150000
0.15079365,13.87768180,13.68758900,0.13900000
0.15079365,13.98244956,13.68758900,0.13250000
0.15079365,14.11139431,13.68758900,0.12450000
0.15079365,14.02274473,13.68758900,0.13000000
0.15079365,13.85350466,13.68758900,0.14050000
0.15079365,13.82932751,13.68758900,0.14200000
0.15079365,13.88574080,13.68758900,0.13850000
0.15079365,13.87768183,13.68758900,0.13900000
