learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 30, dataset_type: 0, dataset_size: 0.1, loss: 14.068794615609304, acc: 0.1271428573983056
val_acc,acc,val_loss,loss
0.27301587,0.22150000,11.64372446,12.48340967
0.27619048,0.26100000,11.66643318,11.88547463
0.27460317,0.28750000,11.66800760,11.48414383
0.27460317,0.30100000,11.66807226,11.26654923
0.15555556,0.17600000,13.61083607,13.28155353
0.15555556,0.14600000,13.61083607,13.76485512
0.15555556,0.13100000,13.61083607,14.00662665
0.15555556,0.14450000,13.61083607,13.78903224
0.15555556,0.14850000,13.61083607,13.72455983
0.15555556,0.13750000,13.61083607,13.90185885
0.15555556,0.13900000,13.61083607,13.87768183
0.15555556,0.13150000,13.61083607,13.99856763
0.15555556,0.14300000,13.61083607,13.81320944
0.15555556,0.13350000,13.61083607,13.96633139
0.15555556,0.14250000,13.61083607,13.82126849
0.15555556,0.14450000,13.61083607,13.78903224
0.15555556,0.13350000,13.61083607,13.96633132
0.15555556,0.15000000,13.61083607,13.70038269
0.15555556,0.13800000,13.61083607,13.89379988
0.15555556,0.14500000,13.61083607,13.78097317
0.15555556,0.13550000,13.61083607,13.93409517
0.15555556,0.13750000,13.61083607,13.90185888
0.15555556,0.14100000,13.61083607,13.84544559
0.15555556,0.13550000,13.61083607,13.93409517
0.15555556,0.14300000,13.61083607,13.81320949
0.15555556,0.14100000,13.61083607,13.84544556
0.15555556,0.14750000,13.61083607,13.74067793
0.15555556,0.13150000,13.61083607,13.99856751
0.15555556,0.12950000,13.61083607,14.03080389
0.15555556,0.14550000,13.61083607,13.77291417
